"Feature,Coefficient,Abs_Coefficient"
"Roof Matl_ClyTile,-0.607008470619696,0.607008470619696"
"Misc Feature_Elev,-0.5508285179600273,0.5508285179600273"
"Functional_Sal,-0.3044105913395543,0.3044105913395543"
"Exter Cond_Po,-0.29748826556535274,0.29748826556535274"
"Neighborhood_GrnHill,0.2918309530320828,0.2918309530320828"
"Condition 2_PosN,-0.23893539078667247,0.23893539078667247"
"MS Zoning_A (agr),-0.20216800550656172,0.20216800550656172"
"Roof Matl_WdShngl,0.19788574952236992,0.19788574952236992"
"Exterior 2nd_CBlock,-0.18285589741520894,0.18285589741520894"
"Misc Feature_Othr,0.177515700733212,0.177515700733212"
"Misc Feature_Gar2,0.17670817735514063,0.17670817735514063"
"Mas Vnr Type_CBlock,-0.1615611951112016,0.1615611951112016"
"Gr Liv Area,0.14718947708706917,0.14718947708706917"
"Garage Qual_Ex,0.14151020687521076,0.14151020687521076"
"Heating QC_Po,-0.13620328005675686,0.13620328005675686"
"Exterior 1st_PreCast,0.13401937040387676,0.13401937040387676"
"Exterior 2nd_PreCast,0.13401937040387676,0.13401937040387676"
"Functional_Typ,0.13332599146629706,0.13332599146629706"
"Misc Feature_Shed,0.12603035428582207,0.12603035428582207"
"Neighborhood_Edwards,-0.10535012452484449,0.10535012452484449"
"Pool QC_Gd,-0.1041209226621168,0.1041209226621168"
"Functional_Min1,0.10005007225530864,0.10005007225530864"
"MS Zoning_C (all),-0.10000621009467661,0.10000621009467661"
"MS Zoning_RH,0.09896853089006838,0.09896853089006838"
"Condition 2_PosA,0.09579499286515235,0.09579499286515235"
"Sale Condition_AdjLand,0.09551486972923494,0.09551486972923494"
"Exter Cond_TA,0.09494964077252754,0.09494964077252754"
"Functional_Maj2,-0.0897490903481584,0.0897490903481584"
"Roof Matl_CompShg,0.08833916752316684,0.08833916752316684"
"Functional_Mod,0.0879652611800608,0.0879652611800608"
"Exterior 1st_CBlock,0.08579223235755098,0.08579223235755098"
"Neighborhood_Blueste,0.08499054039953116,0.08499054039953116"
"Heating_GasW,0.08461458724135316,0.08461458724135316"
"Functional_Min2,0.08286344754426159,0.08286344754426159"
"Roof Matl_Membran,0.08268375352726491,0.08268375352726491"
"Neighborhood_StoneBr,0.08256190038808423,0.08256190038808423"
"Exterior 1st_BrkFace,0.08131234728564887,0.08131234728564887"
"MS Zoning_RL,0.07985258912684047,0.07985258912684047"
"Utilities_AllPub,0.07918252027920651,0.07918252027920651"
"MS Zoning_FV,0.07865316056849342,0.07865316056849342"
"Roof Matl_Metal,0.077492009073558,0.077492009073558"
"Exter Cond_Gd,0.07428914451665923,0.07428914451665923"
"Exterior 1st_AsbShng,-0.07387229380398441,0.07387229380398441"
"Garage Qual_Po,-0.07290957366737713,0.07290957366737713"
"Pool QC_Ex,0.07286721170888259,0.07286721170888259"
"Neighborhood_NoRidge,0.07274973401894257,0.07274973401894257"
"Neighborhood_NWAmes,-0.07262600833987344,0.07262600833987344"
